country,n,p_nova4_given_ab,p_nova4_given_ab_lo,p_nova4_given_ab_hi,n_ab,n_ab_nova4,p_ab_given_nova4,p_ab_given_nova4_lo,p_ab_given_nova4_hi,n_nova4,share_nova4,spearman,spearman_lo,spearman_hi,p_nova4_given_ab_standardised,std_lo,std_hi,std_strata,n_ab_exclusive,p_nova4_given_ab_exclusive,lo,hi
CH,23310,0.290552275095519,0.278847013888396,0.302470105428435,5758,1673,0.121965444339141,0.116533228543623,0.127558579039397,13717,0.588459888459889,0.403080380208104,0.390966055926591,0.415283286843526,0.2553798141406,0.243126901363478,0.265981269184791,32,2560,0.31015625,0.292268288105785,0.328479409963295
DE,85866,0.257882882882883,0.252019439264706,0.263812432048024,21312,5496,0.110314927440236,0.107576735666106,0.113098613502455,49821,0.580218014115016,0.448042406133836,0.442691794097667,0.453469349885309,0.254426014803656,0.248079729161332,0.260374600514919,32,16596,0.265545914678236,0.258838430371949,0.272335653920449
FR,267990,0.301025163094129,0.297622059711013,0.304444826516789,69745,20995,0.135394834424274,0.133695490536644,0.137107823149488,155065,0.578622336654353,0.392390761547739,0.388880354146843,0.395778150902466,0.28350068020438,0.280607627830816,0.286489710912986,32,65067,0.303287380699894,0.299756522867228,0.306835788935548
