analysis,n_ab,estimate,lo,hi
Main analysis (all CH products with both scores),5758,0.290552275095519,0.278847013888396,0.302470105428435
Excluding uncategorised products,5312,0.272213855421687,0.26027799057605,0.284400455877957
Excluding implausible nutrient values,5742,0.290491118077325,0.278770355408015,0.302425107279517
Product page completeness >= 0.8,2330,0.302145922746781,0.283544732363839,0.321245810531412
Sold in CH only (not tagged DE or FR),2560,0.31015625,0.292268288105785,0.328479409963295
Foods only (excluding beverages),5122,0.287973447871925,0.275598610111784,0.300590331481937
Excluding artificially sweetened beverages,5746,0.289070657848938,0.277371701879804,0.300984138899965
Weighted by number of scans,5057,0.400984816486228,0.340084459198527,0.460698352019145
