country,strata,n,standardised,lo,hi
CH,32,5295,0.2553798141406,0.243126901363478,0.265981269184791
DE,32,18688,0.254426014803656,0.248079729161332,0.260374600514919
FR,32,63837,0.28350068020438,0.280607627830816,0.286489710912986
