scan_bin,n_ab,n_ab_nova4,share,lo,hi
no scans,701,158,0.225392296718973,0.194957226199574,0.258158625379508
1,2094,573,0.273638968481375,0.254632607179799,0.293280952563271
2–4,1474,438,0.297150610583446,0.273904507498994,0.321207785263287
5–19,918,308,0.335511982570806,0.304992687403397,0.36709111560406
20–99,364,114,0.313186813186813,0.265858497100449,0.363585443168129
100+,207,82,0.396135265700483,0.329014414373143,0.466275992038293
