grade,n,nova1,nova2,nova3,nova4,share_nova4,lo,hi
A,3252,1688,6,816,742,0.228167281672817,0.213839871728807,0.242985146187772
B,2506,594,423,558,931,0.371508379888268,0.352549543748671,0.390767976296013
C,5863,505,132,1531,3695,0.630223435101484,0.617719017213866,0.642598140326331
D,5435,191,74,1495,3675,0.676172953081877,0.663548472076279,0.688608014929218
E,6254,80,490,1010,4674,0.747361688519348,0.736398706490567,0.758093522574547
